hmm_state,rows,users,bet_days_7d_mean,no_bet_streak_days_mean,bet_interval_day_mean,bet_amount_ratio_today_vs_history_median,bet_count_ratio_today_vs_history_median,avg_bet_one_time_today_log_mean,rtp_7_bet_days_mean,rtp_day_mean,max_consecutive_loss_count_today_median,current_balance_max_to_avg_bet_ratio_median,bet_count_today_median,bet_amount_today_median,churn7_rate,next_gap_days_mean,state_duration_median,row_share,label
1,205630,152324,1.2327919077955551,3.3822691241550356,1.1002632521093318,0.3140073761854584,0.3478260869565217,0.949656455049225,0.7596773533500534,0.7336044725360857,35.0,223.06303472802597,123.0,170.0,0.7657068860450944,10.435292097694981,1.0,0.5582719984361977,衰退/流失前状态
3,44466,24814,2.1604146988710475,8.742364952997796,90.52020860740973,3.5673874893690583,3.107817640607865,1.211828080446632,0.973177749739676,1.0316875163824921,102.0,842.2250000378979,800.0,1615.0,0.396082067926278,4.661136987175397,1.0,0.12072228119663457,低频回访状态
2,44359,13967,4.05707973579206,0.5989990757230776,124.91717518659499,0.0519675202998126,0.0692515239332467,0.9506617116188427,0.9296093792525048,0.34947588801185614,40.0,64.39477525943036,101.0,140.0,0.24184858337203902,3.370676771989752,1.0,0.12043178319618389,稳定活跃状态
0,73878,23446,3.9069411732856874,0.08634505536154201,9.892028055068032,0.8907737639023725,0.8950411640819453,1.138675479339798,0.9756986569227479,0.934571160226405,179.0,932.3519649399958,2346.0,4372.0,0.194992067324274,1.8511682355393768,1.0,0.20057393717098387,稳定活跃状态
