hmm_state,manual_label,rows,row_share_pct,users,active_days_7d_mean,no_bet_streak_days_mean,bet_amount_ratio_today_vs_history_median,bet_count_ratio_today_vs_history_median,rtp_7d_mean,profit_today_to_bet_today_ratio_mean,max_consecutive_loss_count_today_median,current_balance_to_avg_bet_ratio_median,churn7_rate_pct
0,高流失低频亏损状态,175318,48.01,123373,1.631538119303209,2.911378181361868,0.0966345776131942,0.1231866680804823,0.6100495980815354,-0.5641110283074612,72.0,88.0,73.33
2,长间隔回访/再激活状态,38602,10.57,21296,1.994663488938397,13.733744365576912,3.533333333333333,3.0941637695095787,0.9434228217605876,-0.0125952729729896,1526.0,976.901410256412,40.89
3,短周期正反馈状态,71097,19.47,36351,2.767092844986427,0.7864466855141568,0.3027251421535348,0.3128820347922593,1.2377191960083884,0.2321908722831735,245.0,300.0274489896608,40.31
1,稳定活跃状态,80139,21.95,36388,3.1319207876314903,0.0484907473265201,0.986873508353222,0.9919137466307276,0.9826776355185168,-0.0408233798309643,2447.0,1028.0239112344193,31.53
